Category,tag,parent_tag,num_children,num_siblings,dom_depth,class_str,id_str,text_len,text_word_count,text_digit_count,has_currency_symbol,is_price_format,text_density,reading_ease,has_href,is_image
other,a,li,0,0,8,,,17,3,0,0,0,17.0,77.90500000000002,1,0
other,li,ul,1,134,7,alt-even,,11,1,0,0,0,5.5,-47.97999999999996,0,0
other,a,li,0,0,8,,,11,1,0,0,0,11.0,-47.97999999999996,1,0
other,li,ul,1,134,7,alt-odd,,8,1,0,0,0,4.0,121.22000000000003,0,0
other,a,li,0,0,8,,,8,1,0,0,0,8.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-even,,16,3,0,0,0,8.0,77.90500000000002,0,0
other,a,li,0,0,8,,,16,3,0,0,0,16.0,77.90500000000002,1,0
other,li,ul,1,134,7,alt-odd,,11,1,0,0,0,5.5,36.62000000000003,0,0
other,a,li,0,0,8,,,11,1,0,0,0,11.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-even,,10,1,0,0,0,5.0,-47.97999999999996,0,0
other,a,li,0,0,8,,,10,1,0,0,0,10.0,-47.97999999999996,1,0
other,li,ul,1,134,7,alt-odd,,34,4,0,0,0,17.0,-21.809999999999945,0,0
other,a,li,0,0,8,,,34,4,0,0,0,34.0,-21.809999999999945,1,0
other,li,ul,1,134,7,alt-even,,9,1,0,0,0,4.5,-47.97999999999996,0,0
other,a,li,0,0,8,,,9,1,0,0,0,9.0,-47.97999999999996,1,0
other,li,ul,1,134,7,alt-odd,,9,1,0,0,0,4.5,121.22000000000003,0,0
other,a,li,0,0,8,,,9,1,0,0,0,9.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-even,,8,1,0,0,0,4.0,-47.97999999999996,0,0
other,a,li,0,0,8,,,8,1,0,0,0,8.0,-47.97999999999996,1,0
other,li,ul,1,134,7,alt-odd,,17,4,0,0,0,8.5,62.79000000000002,0,0
other,a,li,0,0,8,,,17,4,0,0,0,17.0,62.79000000000002,1,0
other,li,ul,1,134,7,alt-even,,9,1,0,0,0,4.5,36.62000000000003,0,0
other,a,li,0,0,8,,,9,1,0,0,0,9.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-odd,,5,1,0,0,0,2.5,121.22000000000003,0,0
other,a,li,0,0,8,,,5,1,0,0,0,5.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-even,,19,3,0,0,0,9.5,77.90500000000002,0,0
other,a,li,0,0,8,,,19,3,0,0,0,19.0,77.90500000000002,1,0
other,li,ul,1,134,7,alt-odd,,5,1,0,0,0,2.5,36.62000000000003,0,0
other,a,li,0,0,8,,,5,1,0,0,0,5.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-even,,7,1,0,0,0,3.5,36.62000000000003,0,0
other,a,li,0,0,8,,,7,1,0,0,0,7.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-odd,,5,1,0,0,0,2.5,36.62000000000003,0,0
other,a,li,0,0,8,,,5,1,0,0,0,5.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-even,,5,1,0,0,0,2.5,36.62000000000003,0,0
other,a,li,0,0,8,,,5,1,0,0,0,5.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-odd,,8,1,0,0,0,4.0,36.62000000000003,0,0
other,a,li,0,0,8,,,8,1,0,0,0,8.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-even,,6,1,0,0,0,3.0,121.22000000000003,0,0
other,a,li,0,0,8,,,6,1,0,0,0,6.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-odd,,9,1,0,0,0,4.5,121.22000000000003,0,0
other,a,li,0,0,8,,,9,1,0,0,0,9.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-even,,8,1,0,0,0,4.0,-217.17999999999998,0,0
other,a,li,0,0,8,,,8,1,0,0,0,8.0,-217.17999999999998,1,0
other,li,ul,1,134,7,alt-odd,,9,1,0,0,0,4.5,121.22000000000003,0,0
other,a,li,0,0,8,,,9,1,0,0,0,9.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-even,,6,1,0,0,0,3.0,121.22000000000003,0,0
other,a,li,0,0,8,,,6,1,0,0,0,6.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-odd,,4,1,0,0,0,2.0,121.22000000000003,0,0
other,a,li,0,0,8,,,4,1,0,0,0,4.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-even,,12,2,0,0,0,6.0,35.60500000000002,0,0
other,a,li,0,0,8,,,12,2,0,0,0,12.0,35.60500000000002,1,0
other,li,ul,1,134,7,alt-odd,,13,3,0,0,0,6.5,120.20500000000001,0,0
other,a,li,0,0,8,,,13,3,0,0,0,13.0,120.20500000000001,1,0
other,li,ul,1,134,7,alt-even,,8,1,0,0,0,4.0,121.22000000000003,0,0
other,a,li,0,0,8,,,8,1,0,0,0,8.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-odd,,9,1,0,0,0,4.5,36.62000000000003,0,0
other,a,li,0,0,8,,,9,1,0,0,0,9.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-even,,16,2,0,0,0,8.0,-48.994999999999976,0,0
other,a,li,0,0,8,,,16,2,0,0,0,16.0,-48.994999999999976,1,0
other,li,ul,1,134,7,alt-odd,,29,7,0,0,0,14.5,54.72500000000002,0,0
other,a,li,0,0,8,,,29,7,0,0,0,29.0,54.72500000000002,1,0
other,li,ul,1,134,7,alt-even,,8,1,0,0,0,4.0,36.62000000000003,0,0
other,a,li,0,0,8,,,8,1,0,0,0,8.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-odd,,14,2,0,0,0,7.0,77.90500000000002,0,0
other,a,li,0,0,8,,,14,2,0,0,0,14.0,77.90500000000002,1,0
other,li,ul,1,134,7,alt-even,,29,4,0,0,0,14.5,-21.809999999999945,0,0
other,a,li,0,0,8,,,29,4,0,0,0,29.0,-21.809999999999945,1,0
other,li,ul,1,134,7,alt-odd,,10,1,0,0,0,5.0,121.22000000000003,0,0
other,a,li,0,0,8,,,10,1,0,0,0,10.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-even,,6,1,0,0,0,3.0,121.22000000000003,0,0
other,a,li,0,0,8,,,6,1,0,0,0,6.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-odd,,23,3,0,0,0,11.5,77.90500000000002,0,0
other,a,li,0,0,8,,,23,3,0,0,0,23.0,77.90500000000002,1,0
other,li,ul,1,134,7,alt-even,,15,3,0,0,0,7.5,35.60500000000002,0,0
other,a,li,0,0,8,,,15,3,0,0,0,15.0,35.60500000000002,1,0
other,li,ul,1,134,7,alt-odd,,4,1,0,0,0,2.0,121.22000000000003,0,0
other,a,li,0,0,8,,,4,1,0,0,0,4.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-even,,8,1,0,0,0,4.0,36.62000000000003,0,0
other,a,li,0,0,8,,,8,1,0,0,0,8.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-odd,,8,1,0,0,0,4.0,121.22000000000003,0,0
other,a,li,0,0,8,,,8,1,0,0,0,8.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-even,,4,1,0,0,0,2.0,36.62000000000003,0,0
