Category,tag,parent_tag,gparent_tag,num_children,num_siblings,dom_depth,sibling_tag_ratio,sibling_link_ratio,sibling_image_count,has_nav_ancestor,has_footer_ancestor,has_header_ancestor,text_len,text_word_count,text_digit_count,text_density,digit_density,capitalization_ratio,avg_word_length,has_currency_symbol,is_price_format,has_sold_keyword,has_review_keyword,has_cta_keyword,is_header,is_formatting,is_block_element,is_list_item,font_size,font_weight,visual_weight,tag_importance,is_bold,is_italic,is_hidden,is_strikethrough,is_image,has_src,has_alt,alt_len,img_width,img_height,img_area_raw,image_area,is_clickable,has_href,link_density,parent_is_link,class_str,id_str,avg_distance_to_closest_categories,img_size_rank,visibility_score_local,visibility_score_global,text_len_score_local,tag_count_global,xpath,max_sibling_density,SourceURL
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,27,4,0,0.4576271186440678,0.0,0.1111111111111111,6.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,author,,3.3333333333333335,0,1.0,0.9966329966329968,1.1666666666666667,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[4]/div[2]/div/div[2]/div[2],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,12,2,0,0.2727272727272727,0.0,0.16666666666666666,5.5,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,author,,3.3333333333333335,0,1.0,0.9966329966329968,0.7636363636363637,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[4]/div[3]/div/div[2]/div[2],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,22,4,0,0.4074074074074074,0.0,0.09090909090909091,4.75,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,author,,3.3333333333333335,0,1.0,0.9966329966329968,1.3275862068965516,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[4]/div[4]/div/div[2]/div[2],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,23,4,0,0.41818181818181815,0.0,0.17391304347826086,5.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,author,,3.3333333333333335,0,1.0,0.9966329966329968,1.424778761061947,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[3]/div[4]/div/div[2]/div[2],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,9,2,0,0.21951219512195122,0.0,0.2222222222222222,4.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,author,,3.3333333333333335,0,1.0,0.9966329966329968,0.6237623762376238,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[3]/div[3]/div/div[2]/div[2],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,9,2,0,0.21951219512195122,0.0,0.2222222222222222,4.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,author,,3.3333333333333335,0,1.0,0.9966329966329968,0.6,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[3]/div[2]/div/div[2]/div[2],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,11,2,0,0.2558139534883721,0.0,0.18181818181818182,5.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,author,,3.3333333333333335,0,1.0,0.9966329966329968,0.8279569892473118,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[3]/div[1]/div/div[2]/div[2],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,15,2,0,0.3191489361702128,0.0,0.13333333333333333,7.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,author,,3.3333333333333335,0,1.0,0.9966329966329968,1.1538461538461537,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[2]/div[1]/div/div[2]/div[2],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,16,2,0,0.3333333333333333,0.0,0.125,7.5,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,author,,3.3333333333333335,0,1.0,0.9966329966329968,1.1789473684210527,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[2]/div[2]/div/div[2]/div[2],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,10,2,0,0.23809523809523808,0.0,0.2,4.5,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,author,,3.3333333333333335,0,1.0,0.9966329966329968,0.49295774647887325,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[2]/div[3]/div/div[2]/div[2],7.0,https://www.valentinska.cz/home
