Category,tag,id_name,class_name,all_attributes,text_content,text_content_length,text_content_num_words,text_content_num_digits,text_content_price_format,parent_tag,num_children,num_siblings,position_in_siblings,child_tags,dom_distance_from_root,has_href,is_image,image_src,Selector
other,br,,,{},,0,0,0,0,div,0,7,4,[],4,False,False,,
other,hr,,,{},,0,0,0,0,a,0,2,1,[],7,False,False,,
other,br,,,{},,0,0,0,0,div,0,3,3,[],5,False,False,,
other,div,11496_id,w3-center,"{'class': 'w3-center', 'id': '11496_id', 'style': 'font-family: throndale, sans-serif'}","controspazio: n° 4 ottobre 1973 ""piero b ...
                        
                        
                            text_string = ""Controspazio: n° 4 ottobre 1973 &quot;Piero Bottoni Quarant&#x27;anni di battaglie per l&#x27;architettura&quot;"".toLowerCase().replaceAll(""&#x27;"",""'"").replaceAll(""&quot;"", ""\"""").replaceAll(""&amp;"", ""&"");
                            if(text_string.length > 40){
                                text_string = text_string.substring(0, 40)+ "" ..."";
                            }
                            if(text_string.length > 25){
                                document.getElementById(""11496_id"").removeChild(document.getElementById(""11496_br""));
                            }
                            document.getElementById(""11496"").textContent = text_string;
                            document.getElementById(""11496"").style.fontFamily = ""throndale, sans-serif""
                        
                    
                        
                            
                                45 Chf",1050,48,45,0,a,3,2,2,"['h2', 'script', 'div']",7,False,False,,
other,p,,w3-text-grey,{'class': 'w3-text-grey'},,0,0,0,0,div,0,7,5,[],4,False,False,,
other,br,,,{},,0,0,0,0,div,0,7,6,[],4,False,False,,
other,div,,w3-bar-block,"{'class': 'w3-bar-block', 'style': ''}","NEW ARRIVALS
              

              
                Architecture
              

              
                Art
              

              
                Arts and crafts
              

              
                Children's books
              

              
                Design
              

              
                Illustrated books
              

              
                Posters, Prints and Paintings
              

              
                Photography
              

              
                Literature",563,18,0,0,div,11,7,7,"['h4', 'h3', 'h3', 'h3', 'h3', 'h3', 'h3', 'h3', 'h3', 'h3', 'br']",4,False,False,,
other,div,,,{'class': ''},45 Chf,6,2,2,0,div,1,2,2,['h1'],8,False,False,,
other,br,,,{},,0,0,0,0,div,0,3,0,[],5,False,False,,
other,h4,Newest,,{'id': 'Newest'},NEW ARRIVALS,12,2,0,0,div,1,10,0,['a'],5,False,False,,
other,<cyfunction Comment at 0x79cc09524ac0>,,,{},,0,0,0,0,,0,0,0,[],4,False,False,,
other,div,,category-menu,"{'class': 'category-menu', 'style': ''}","NEW ARRIVALS
              

              
                Architecture
              

              
                Art
              

              
                Arts and crafts
              

              
                Children's books
              

              
                Design
              

              
                Illustrated books
              

              
                Posters, Prints and Paintings
              

              
                Photography
              

              
                Literature",563,18,0,0,nav,8,1,0,"['div', 'a', 'img', 'br', 'br', 'p', 'br', 'div']",3,False,False,,
other,div,,spacing w3-container w3-margin-bottom,{'class': 'spacing w3-container w3-margin-bottom'},"controspazio: n°1-6 gennaio - dicembre 1 ...
                        
                        
                            text_string = ""Controspazio: N°1-6 gennaio - dicembre 1980 &quot;La presenza del Passato&quot; Numero speciale dedicato alla I. Mostra Internazionale di Architettura della Biennale di Venezia"".toLowerCase().replaceAll(""&#x27;"",""'"").replaceAll(""&quot;"", ""\"""").replaceAll(""&amp;"", ""&"");
                            if(text_string.length > 40){
                                text_string = text_string.substring(0, 40)+ "" ..."";
                            }
                            if(text_string.length > 25){
                                document.getElementById(""11495_id"").removeChild(document.getElementById(""11495_br""));
                            }
                            document.getElementById(""11495"").textContent = text_string;
                            document.getElementById(""11495"").style.fontFamily = ""throndale, sans-serif""
                        
                    
                        
                            
                                75 Chf",1114,58,40,0,div,1,30,22,['div'],4,False,False,,
other,a,,w3-bar-item w3-button w3-padding selected_menu,"{'href': '/new', 'onclick': 'w3_close()', 'class': 'w3-bar-item w3-button w3-padding selected_menu', 'style': ''}",NEW ARRIVALS,12,2,0,0,h4,2,0,0,"['i', 'b']",6,True,False,,
